ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet NLP,Mentions Aquinos / Liberal Party,Mentions Aquinos / Liberal Party Negatively,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Retweets + Quote Tweets,Views,Rating,Reasoning,Remarks
57-11,3/27/23 17:21:00,https://twitter.com/airacelleayos/status/1472421350778146823,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,airacelleayos,Crypsic,"Crypssette Gang Collection is Mintable now! 
 https://t.co/GaQ0MIpwpm",identified,07/19,193,40,"Cebu City, Cebu","@Eliosooo00 @rk2112491266 @iamwhatiam30 (9) Mayaman talaga ang mga Marcos. FEM was a gold investor too bago pa maging presidente, and Imelda have all the documents for that, kung saan 'yun din ang ginamit niyang evidence to win the trial of the century and won more than 900 cases.","The Marcoses were always rich. FEM was a gold investor too before he became president, and Imelda had all the documents for that, which she also used as evidence to win the trial of the century and won more than 900 cases.",The Marcoses were always rich FEM was a gold investor too before he became president and Imelda had all the documents for that which she also used as evidence to win the trial of the century and won more than 900 cases,0,0,"Text, Reply",19/12/21 04:19,,rational,1,1,0,0,0,,,"It was proven that the statement that Marcos won over 900+ cases wasn't true.

[https://verafiles.org/articles/vera-files-fact-check-video-resurrects-false-claims-marcos-c]",
57-12,3/27/23 17:21:00,https://twitter.com/myfarm2022/status/1468750284159545351,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,myfarm2022,LYNNE DW❤️🦘🦘🦘,"TO ALL CONNECTIONS,  I’VE ONLY ONE ACCT AT TWITTER NEVER CONNECT OR ACCEPT IF SOMEBODY USE MY PHOTO OR ACCT NAME. THANK YOU VERY MUCH. AWESOME 🇦🇺🇵🇭🔴🟢",anonymous,02/14,2902,3285,"Queensland, Australia","👏👏👏👏👏💃💃💃💃 I’ve read it all and it’s absolutely true I concur 
and as far as I’m concerned not even a single case does d Marcos was 
found guilty noh. If I’m not mistaken 935 cases and the 3 Aquinos was 
gone already but never won any of their cases.sablay na sabog pa.🤡🤪","I’ve read it all and it’s absolutely true I concur, and as far as I’m concerned not even a single case does Marcos was found guilty no? If I’m not mistaken 935 cases and the 3 Aquinos was 
gone already but never won any of their cases. They didn't just miss, they were all wasted.","I’ve read it all and it’s absolutely true I concur and as far as I’m concerned not even a single case does Marcos was found guilty no If I’m not mistaken 935 cases and the 3 Aquinos was 
gone already but never won any of their cases They didn't just miss they were all wasted",1,0,"Text, Reply",09/12/21 09:12,,rational,2,1,1,0,1,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-13,3/27/23 17:21:00,https://twitter.com/MontesclarosRj/status/1486003233516630021,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,MontesclarosRj,rj montes,,identified,02/15,31,30,philippines,"@JMariesz @laarnie888 Mukhang di mo alam ang ""Trial of the Century ""
 Lahat ng mga kaso ay naipanalo ng mga Marcos . All accusations are baseless that's why the Marcoses won all the cases filed against them.btw,before umupo si PFM ay may utang na ang phils at mayaman na sya before pa maging president.","Looks like you don;t know about the ""Trial of the Century"". All of the cases were won by the Marcoses. All accusations are baseless that's why the Marcoses won all the cases filed against them. By the way, before President Ferdinand Marcos was in office, the Philippines was already in debt and he was already rich before he became president.",Looks like you don;t know about the Trial of the Century All of the cases were won by the Marcoses All accusations are baseless that's why the Marcoses won all the cases filed against them By the way before President Ferdinand Marcos was in office the Philippines was already in debt and he was already rich before he became president,0,0,"Text, Reply",25/01/22 15:49,,rational,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-14,3/27/23 17:21:00,https://twitter.com/magaliamman/status/1500707182530416640,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,magaliamman,La Diva,,anonymous,12/21,69,204,"Dasmarinas, Calabarzon",@itsmerlsilva @YesYesYo13 In almost all cases wala na-establish ang PCGG na nakaw sa kaban ng bayan ang yaman ng mga Marcos. It went on porfeiture cases based on cory's executive orders only. To date 3O+yrs after w/2 aquino pres & 1 cory's anointed no criminal case agst Marcoses won in any court.,In almost all cases the PCGG was unable to establish that the Marcos wealth was stolen from the country's treasury. It went on forfeiture cases based on cory's executive orders only. To date 30+ years after with 2 aquino presidents & 1 of cory's anointed no criminal case agst Marcoses won in any court.,In almost all cases the PCGG was unable to establish that the Marcos wealth was stolen from the country's treasury It went on forfeiture cases based on Cory's executive orders only To date 30+ years after with 2 Aquino presidents & 1 of Cory's anointed no criminal case against Marcoses won in any court,1,0,"Text, Reply",07/03/22 05:37,,rational,8,0,2,0,2,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]

In 2003, 2012, and 2014, the Marcos family was found guilty of hiding ill-gotten funds.

[https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea]
",
57-15,3/27/23 17:21:00,https://twitter.com/mochi_moch1104/status/1523907905526894593,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,mochi_moch1104,moch,life full of bs,anonymous,12/19,34,7,,"@JesusChristbrrt how is he a tyrant exactly? because his father was said to be a dictator? because of his “debt” of 203 billion? and if he has so many cases, why is he not in prison yet? because of lack of evidence. so many chances to put the marcos family in prison, but they won all their cases.","how is he a tyrant exactly? because his father was said to be a dictator? because of his “debt” of 203 billion? and if he has so many cases, why is he not in prison yet? because of lack of evidence. so many chances to put the marcos family in prison, but they won all their cases.",how is he a tyrant exactly because his father was said to be a dictator because of his “debt” of 203 billion and if he has so many cases why is he not in prison yet because of lack of evidence so many chances to put the marcos family in prison but they won all their cases,0,0,"Text, Reply",10/05/22 06:08,,emotional,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-16,3/27/23 17:21:00,https://twitter.com/IrisLuna216/status/1523813638368333824,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,IrisLuna216,Luna,X,anonymous,04/21,156,49,Moon,"@Daenaface @Tina52352873 @business Do you know the story? Did you know that all the accusations filed against Marcos was overturned because they could not find any proof, Marcos represented himself as his own lawyer & won all case against him. Marcos built the Philippines up. When he left, corruption started!","Do you know the story? Did you know that all the accusations filed against Marcos was overturned because they could not find any proof, Marcos represented himself as his own lawyer & won all case against him. Marcos built the Philippines up. When he left, corruption started!",Do you know the story Did you know that all the accusations filed against Marcos was overturned because they could not find any proof Marcos represented himself as his own lawyer & won all case against him Marcos built the Philippines up When he left corruption started,0,0,"Text, Reply",09/05/22 23:54,,rational,1,1,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]

Corruption did not start only after Marcos left the presidency. His administration was distincted by “The Greatest Robbery of A Government” from Guinness World Records due to the magnitude of corruption in his era.

[https://newsinfo.inquirer.net/1490968/marcos-martial-law-golden-age-for-corruption-abuses]",
57-17,3/27/23 17:54:00,https://twitter.com/univerSHAQ/status/728570307712196608,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,univerSHAQ,nic,@mryjy_albay ‘s Daddy,identified,07/11,308,519,,"Kung totoong nagnakaw ang mga Marcos, bakit nanalo sila sa lahat ng kaso nila regarding sa pagnanakaw keme na yan. haaay juzt askin","If it is true that Marcos stole, why did he win all of his cases regarding this theft? Hi just asking.",If it is true that Marcos stole why did he win all of his cases regarding this theft Hi just asking,0,0,Text,06/05/16 13:01,,emotional,1,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-18,3/27/23 17:54:00,https://twitter.com/jaijeeeee/status/1450694009375002632,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,jaijeeeee,Jaije,💌 Business Email:joahnril@gmail.com | Whoever exalts himself will be humbled; but whoever humbles himself will be exalted. Matthew 23:12,identified,10/16,252,88,,"@altercation1995 @atomaraullo @tonetjadaone Fake news din ba ang hacienda luisita? Yolanda funds?mendiola massacre? Kung totoo silang nag nakaw eh sana nakulong sila eh kaso hindi walang ebidensya na talagang nag papatunay na nag nakaw,kaya lahat ng cases nila nanalo ang marcos","Was Hacienda Luisita also fake news? The Yolanda funds? The Mendiola Massacre? If it is true that they stole, they should have benn imprisoned but no, there was no evidence that proves that they stole, which is why in all their cases, the Marcoses won.",Was Hacienda Luisita also fake news The Yolanda funds The Mendiola Massacre If it is true that they stole they should have been imprisoned but no there was no evidence that proves that they stole which is why in all their cases the Marcoses won,1,1,"Text, Reply",20/10/21 05:22,,emotional,1,1,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-19,3/27/23 17:54:00,https://twitter.com/LelangmoVlogger/status/1469948429447041026,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,LelangmoVlogger,Winnie Corpuz,,anonymous,11/21,428,256,,@raissawriter May pinag aralan ka pero bakit Ang obob mo punta ka na Lang sa high courts tignan mo lahat lahat ilista mo ha lahat nanalo lahat Ng mga kaso...Sige mag file pa para dumami Pera ni mahal naming Bongbong Marcos...hay naku gamitin Ang Utak,"You are educated, yet why are you so stupid? Just look at the high courts, look at it and list down all of the cases! They won all of it... Go on, file more cases so that our beloved Bongbong Marcos gets wealthier. Oh, use your head!",You are educated yet why are you so stupid Just look at the high courts look at it and list down all of the cases They won all of it Go on file more cases so that our beloved Bongbong Marcos gets wealthier Oh use your head,0,0,"Text, Reply",12/12/21 08:33,,emotional,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-20,3/27/23 17:54:00,https://twitter.com/Victor05210/status/1481826357176901633,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,Victor05210,VICTORIA VALDES,A funny lola trying to make the whole world a better place to live in.. #BBMSARA2022 #BBMLATTA #SARADUTERTE,identified,01/22,145,196,,"@RyanLingo_ After people's power....frozen at sequestered ang lahat assets at properties ng mga Marcos....nabuhay sila sa tulong ng mga taga Hawaii...nanalo sila sa lahat ng kaso, wala kayong sinoling pera sa kanila kahit na singkong duling..paano marerecover kung naubos na ng Dilawan...","After people's power... all of the Marcos assets and properties were frozen and sequestered... they survived thanks to Hawaiian aid... They won all their cases, you returned no money to them not even 5 centavos. How will it be recovered if the Yellows used it all up...",After people's power all of the Marcos assets and properties were frozen and sequestered they survived thanks to Hawaiian aid They won all their cases you returned no money to them not even 5 centavos How will it be recovered if the Yellows used it all up,1,1,"Text, Reply",14/01/22 03:11,,rational,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-21,3/27/23 17:54:00,https://twitter.com/HarloharP/status/1478977805992210435,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,HarloharP,Harlonhar Plaza,,identified ,04/21,43,30,Republic of the Philippines,"@CamposJuledna Galing Maka panira, walang kaso na nanalo, sa mga nag sampa Ng kaso lahat Ng kaso, bukya, na ipanalo Ng mga Marcos Ang mga kaso,kaya Hindi na kami maniwala gising na Ang taong bayan,","You're good at slander, they did not win any cases, out of the filed cases, all of the filed cases, lost, which the Marcoses won, which is why we won't believe that our countrymen have become woke.",You're good at slander they did not win any cases out of the filed cases all of the filed cases lost which the Marcoses won which is why we won't believe that our countrymen have become woke,0,0,"Text, Reply",06/01/22 06:32,,emotional,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-22,3/27/23 17:54:00,https://twitter.com/jacknpoy12/status/1508178537664192512,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,jacknpoy12,jacknpoy12,,anonymous,06/15,44,3,,@ABSCBNNews The funny thing is sa lahat ng mga kaso ni Marcos ni walang nanalo sa kanila. Media just kept publishing what they don't know lol.,"The funny thing is out of all of the cases against Marcos, none of them were won. Media just kept publishing what they don't know lol.",The funny thing is out of all of the cases against Marcos none of them were won Media just kept publishing what they don't know lol,0,0,"Text, Reply",27/03/22 20:25,,emotional,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-23,3/27/23 17:54:00,https://twitter.com/angelbhear/status/1526600873794842624,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,angelbhear,Mystique,🏳️‍🌈🇨🇦SNAG (Sensitive New Age Gal) 🇨🇦🏳️‍🌈,anonymous,07/10,192,57,Canada,"@George022222 kahit ano pa man yan, lahat ng sinampang kaso laban sa mga #Marcos and naibasura or napawalang bisa. lam mo baket? dahil fake news lahat yan. magbigay ka ng isang kaso sa kanila na nanalo ang kalaban. wala diba?","No matter which one it was, all of the cases filed against the Marcos family were thrown out or ignored. You know why? It's all fake news. Give me one case against them that the opposition won, none, right?",No matter which one it was all of the cases filed against the Marcos family were thrown out or ignored You know why It's all fake news Give me one case against them that the opposition won none right,0,0,"Text, Reply",17/05/22 16:29,,emotonal,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-24,3/27/23 17:54:00,https://twitter.com/3riic15/status/1524921857341784066,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos nanalo lahat kaso,3riic15,3Řïc,"No One is Perfect ,Let's share and unite. One Love",anonymous,05/22,11,0,,"@pyrcenthusiast @JadlocRemelyn @PhilippineStar Di nyu ba ma gets na sa dami ng na file na kaso vs sa mga Marcos hindi lang sa Pinas at lahat ng kaso guess what nanalo ang mga Marcos, kasi innocente cla, at mga nangyare sa mga inosenteng tao na sinasabi mo mga NPA nag panggap na sundalo naki eksena nuon.","Don't you get that there are so many cases filed against the Marcoses not only in the Philippines and guess what, all of the cases were won by the Marcoses, because they are innocent, and all of the stuff that happened to the so-called innocents, they were all NPA agents disguised as soldiers that caused a scene.",Don't you get that there are so many cases filed against the Marcoses not only in the Philippines and guess what all of the cases were won by the Marcoses because they are innocent and all of the stuff that happened to the so-called innocents they were all NPA agents disguised as soldiers that caused a scene,0,0,"Text, Reply",13/05/22 01:17,,rational,0,1,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
